y,x,frame,t,vial,climbing,1
53.4,168.07,114,4.56,1,climbing,
36.47,240.02,114,4.56,1,climbing,
371.38,237.07,115,4.6,1,climbing,
352.76,237.49,115,4.6,1,climbing,
163.69,185.97,115,4.6,1,climbing,
133.64,165.04,115,4.6,1,climbing,
53.59,167.97,115,4.6,1,climbing,
36.45,240.95,115,4.6,1,climbing,
371.57,236.81,116,4.64,1,climbing,
352.13,237.14,116,4.64,1,climbing,
164.84,186.94,116,4.64,1,climbing,
133.89,165.83,116,4.64,1,climbing,
53.71,168.02,116,4.64,1,climbing,
36.43,240.97,116,4.64,1,climbing,
371.76,236.09,117,4.68,1,climbing,
351.56,236.76,117,4.68,1,climbing,
170.55,189.67,117,4.68,1,climbing,
132.78,167.64,117,4.68,1,climbing,
53.71,168.04,117,4.68,1,climbing,
36.33,241.86,117,4.68,1,climbing,
371.98,235.7,118,4.72,1,climbing,
350.9,236.1,118,4.72,1,climbing,
172.66,190.01,118,4.72,1,climbing,
132.86,167.65,118,4.72,1,climbing,
53.69,168.1,118,4.72,1,climbing,
36.39,241.88,118,4.72,1,climbing,
350.7,231.51,119,4.76,1,climbing,
172.9,190.91,119,4.76,1,climbing,
132.54,167.84,119,4.76,1,climbing,
53.71,168.35,119,4.76,1,climbing,
36.4,241.84,119,4.76,1,climbing,
350.45,231.58,120,4.8,1,climbing,
178.56,194.04,120,4.8,1,climbing,
131.71,168.74,120,4.8,1,climbing,
53.7,168.34,120,4.8,1,climbing,
36.41,241.86,120,4.8,1,climbing,
372.02,234.96,121,4.84,1,climbing,
350.3,231.35,121,4.84,1,climbing,
180.59,194.14,121,4.84,1,climbing,
130.97,169.88,121,4.84,1,climbing,
53.7,168.28,121,4.84,1,climbing,
36.38,241.84,121,4.84,1,climbing,
372.01,234.85,122,4.88,1,climbing,
350.01,230.95,122,4.88,1,climbing,
180.74,195.07,122,4.88,1,climbing,
130.68,170.72,122,4.88,1,climbing,
53.68,168.3,122,4.88,1,climbing,
36.39,241.02,122,4.88,1,climbing,
349.63,229.98,123,4.92,1,climbing,
182.67,197.07,123,4.92,1,climbing,
129.03,172.02,123,4.92,1,climbing,
53.65,168.35,123,4.92,1,climbing,
36.42,241.02,123,4.92,1,climbing,
349.72,229.93,124,4.96,1,climbing,
